index,Country,Date,AvgTemperature
63505,Sri Lanka,2018-04-14,80.3
63506,Sri Lanka,2018-04-15,82.6
63507,Sri Lanka,2018-04-16,82.5
63508,Sri Lanka,2018-04-17,82.1
63509,Sri Lanka,2018-04-18,79.0
63510,Sri Lanka,2018-04-19,82.5
63511,Sri Lanka,2018-04-20,83.0
63512,Sri Lanka,2018-04-21,83.5
63513,Sri Lanka,2018-04-22,83.5
63514,Sri Lanka,2018-04-23,84.3
63515,Sri Lanka,2018-04-24,84.8
63516,Sri Lanka,2018-04-25,82.6
63517,Sri Lanka,2018-04-26,80.9
63518,Sri Lanka,2018-04-27,82.7
63519,Sri Lanka,2018-04-28,80.9
63520,Sri Lanka,2018-04-29,82.1
63521,Sri Lanka,2018-04-30,84.7
63522,Sri Lanka,2018-05-01,86.0
63523,Sri Lanka,2018-05-02,84.0
63524,Sri Lanka,2018-05-03,83.6
63525,Sri Lanka,2018-05-04,81.4
63526,Sri Lanka,2018-05-05,82.0
63527,Sri Lanka,2018-05-06,83.0
63528,Sri Lanka,2018-05-07,82.3
63529,Sri Lanka,2018-05-08,82.8
63530,Sri Lanka,2018-05-09,80.5
63531,Sri Lanka,2018-05-10,80.5
63532,Sri Lanka,2018-05-11,82.1
63533,Sri Lanka,2018-05-12,80.5
63534,Sri Lanka,2018-05-13,81.0
63535,Sri Lanka,2018-05-14,81.4
63536,Sri Lanka,2018-05-15,82.0
63537,Sri Lanka,2018-05-16,81.4
63538,Sri Lanka,2018-05-17,78.4
63539,Sri Lanka,2018-05-18,77.2
63540,Sri Lanka,2018-05-19,81.6
63541,Sri Lanka,2018-05-20,81.3
63542,Sri Lanka,2018-05-21,79.1
63543,Sri Lanka,2018-05-22,82.9
63544,Sri Lanka,2018-05-23,76.0
63545,Sri Lanka,2018-05-24,78.1
63546,Sri Lanka,2018-05-25,78.5
63547,Sri Lanka,2018-05-26,77.5
63548,Sri Lanka,2018-05-27,80.4
63549,Sri Lanka,2018-05-28,83.2
63550,Sri Lanka,2018-05-29,83.8
63551,Sri Lanka,2018-05-30,83.8
63552,Sri Lanka,2018-05-31,83.5
63553,Sri Lanka,2018-06-01,81.3
63554,Sri Lanka,2018-06-02,82.2
63555,Sri Lanka,2018-06-03,82.0
63556,Sri Lanka,2018-06-04,82.4
63557,Sri Lanka,2018-06-05,83.2
63558,Sri Lanka,2018-06-06,82.2
63559,Sri Lanka,2018-06-07,81.6
63560,Sri Lanka,2018-06-08,83.8
63561,Sri Lanka,2018-06-09,83.6
63562,Sri Lanka,2018-06-10,83.6
63563,Sri Lanka,2018-06-11,83.5
63564,Sri Lanka,2018-06-12,83.7
63565,Sri Lanka,2018-06-13,82.7
63566,Sri Lanka,2018-06-14,81.8
63567,Sri Lanka,2018-06-15,82.0
63568,Sri Lanka,2018-06-16,77.7
63569,Sri Lanka,2018-06-17,81.6
63570,Sri Lanka,2018-06-18,82.0
63571,Sri Lanka,2018-06-19,80.8
63572,Sri Lanka,2018-06-20,81.3
63573,Sri Lanka,2018-06-21,80.1
63574,Sri Lanka,2018-06-22,81.8
63575,Sri Lanka,2018-06-23,81.0
63576,Sri Lanka,2018-06-24,81.6
63577,Sri Lanka,2018-06-25,81.6
63578,Sri Lanka,2018-06-26,82.5
63579,Sri Lanka,2018-06-27,82.2
63580,Sri Lanka,2018-06-28,82.6
63581,Sri Lanka,2018-06-29,80.9
63582,Sri Lanka,2018-06-30,82.2
63583,Sri Lanka,2018-07-01,82.6
63584,Sri Lanka,2018-07-02,82.1
63585,Sri Lanka,2018-07-03,82.0
63586,Sri Lanka,2018-07-04,83.0
63587,Sri Lanka,2018-07-05,82.9
63588,Sri Lanka,2018-07-06,82.8
63589,Sri Lanka,2018-07-07,82.8
63590,Sri Lanka,2018-07-08,82.7
63591,Sri Lanka,2018-07-09,80.7
63592,Sri Lanka,2018-07-10,80.0
63593,Sri Lanka,2018-07-11,78.3
63594,Sri Lanka,2018-07-12,81.0
63595,Sri Lanka,2018-07-13,81.6
63596,Sri Lanka,2018-07-14,81.8
63597,Sri Lanka,2018-07-15,80.0
63598,Sri Lanka,2018-07-16,79.1
63599,Sri Lanka,2018-07-17,80.5
63600,Sri Lanka,2018-07-18,80.3
63601,Sri Lanka,2018-07-19,80.6
63602,Sri Lanka,2018-07-20,81.1
63603,Sri Lanka,2018-07-21,81.5
63604,Sri Lanka,2018-07-22,81.2
63605,Sri Lanka,2018-07-23,80.7
63606,Sri Lanka,2018-07-24,80.8
63607,Sri Lanka,2018-07-25,80.6
63608,Sri Lanka,2018-07-26,80.4
63609,Sri Lanka,2018-07-27,80.7
63610,Sri Lanka,2018-07-28,80.9
63611,Sri Lanka,2018-07-29,81.2
63612,Sri Lanka,2018-07-30,80.7
63613,Sri Lanka,2018-07-31,80.9
63614,Sri Lanka,2018-08-01,79.9
63615,Sri Lanka,2018-08-02,80.9
63616,Sri Lanka,2018-08-03,81.6
63617,Sri Lanka,2018-08-04,81.3
63618,Sri Lanka,2018-08-05,81.5
63619,Sri Lanka,2018-08-06,81.4
63620,Sri Lanka,2018-08-07,80.2
63621,Sri Lanka,2018-08-08,78.4
63622,Sri Lanka,2018-08-09,79.8
63623,Sri Lanka,2018-08-10,80.6
